day,daily_active_users
2024-03-14 00:00:00.000 UTC,3178
2024-03-15 00:00:00.000 UTC,5887
2024-03-16 00:00:00.000 UTC,4449
2024-03-17 00:00:00.000 UTC,4164
2024-03-18 00:00:00.000 UTC,3660
2024-03-19 00:00:00.000 UTC,3757
2024-03-20 00:00:00.000 UTC,3310
2024-03-21 00:00:00.000 UTC,4700
2024-03-22 00:00:00.000 UTC,6294
2024-03-23 00:00:00.000 UTC,6266
2024-03-24 00:00:00.000 UTC,7227
2024-03-25 00:00:00.000 UTC,8843
2024-03-26 00:00:00.000 UTC,9619
2024-03-27 00:00:00.000 UTC,10144
2024-03-28 00:00:00.000 UTC,11657
2024-03-29 00:00:00.000 UTC,12287
2024-03-30 00:00:00.000 UTC,13574
2024-03-31 00:00:00.000 UTC,14895
2024-04-01 00:00:00.000 UTC,19030
2024-04-02 00:00:00.000 UTC,18425
2024-04-03 00:00:00.000 UTC,20927
2024-04-04 00:00:00.000 UTC,21110
2024-04-05 00:00:00.000 UTC,16171
2024-04-06 00:00:00.000 UTC,18763
2024-04-07 00:00:00.000 UTC,20448
2024-04-08 00:00:00.000 UTC,22321
2024-04-09 00:00:00.000 UTC,24231
2024-04-10 00:00:00.000 UTC,25533
2024-04-11 00:00:00.000 UTC,28875
2024-04-12 00:00:00.000 UTC,28704
2024-04-13 00:00:00.000 UTC,26327
2024-04-14 00:00:00.000 UTC,25009
2024-04-15 00:00:00.000 UTC,27636
2024-04-16 00:00:00.000 UTC,34833
2024-04-17 00:00:00.000 UTC,30179
2024-04-18 00:00:00.000 UTC,28140
2024-04-19 00:00:00.000 UTC,31985
2024-04-20 00:00:00.000 UTC,31515
2024-04-21 00:00:00.000 UTC,28652
2024-04-22 00:00:00.000 UTC,28629
2024-04-23 00:00:00.000 UTC,31296
2024-04-24 00:00:00.000 UTC,31122
2024-04-25 00:00:00.000 UTC,25885
2024-04-26 00:00:00.000 UTC,23160
2024-04-27 00:00:00.000 UTC,24636
2024-04-28 00:00:00.000 UTC,24399
2024-04-29 00:00:00.000 UTC,26035
2024-04-30 00:00:00.000 UTC,26702
2024-05-01 00:00:00.000 UTC,24768
2024-05-02 00:00:00.000 UTC,29799
2024-05-03 00:00:00.000 UTC,33763
2024-05-04 00:00:00.000 UTC,37420
2024-05-05 00:00:00.000 UTC,34274
2024-05-06 00:00:00.000 UTC,38978
2024-05-07 00:00:00.000 UTC,39477
2024-05-08 00:00:00.000 UTC,40549
2024-05-09 00:00:00.000 UTC,41864
2024-05-10 00:00:00.000 UTC,42978
2024-05-11 00:00:00.000 UTC,40916
2024-05-12 00:00:00.000 UTC,45948
2024-05-13 00:00:00.000 UTC,29753
